behav,S,a1,a2,a5,a6,a7,h1,h2,h5,c1,c2,c3,c4,d1,d3,Decay1,Decay2,Decay4,Decay7,Decay8,leakage_A1,leakage_B,leakage_HSPR,hstart,hduration,model_name,end_time
sto,77.82734029080109,46.627472654169615,75.19264515865683,8.603411649,2,300,8.208167506768163,2.0159499471763755,4.164283454796309,7.613812559714594,1.6350454642933352,9.832356776573047,0.20608051320746767,0.093121797,0.090297179,0.04,0.04,0.04,0.04,0.04,0.00639505,0.004355428,0.006711377,600,30,replaceA1,1000.0005374117055
det,7.672151176732807,36.709080148050845,53.73137585721519,38.72622852468943,2,300,6.033175134211321,7.685473324736038,7.261927109715648,6.8953383048620225,1.2951724868263415,6.907479101894918,1.9586203107900217,0.032093973,0.078954514,0.04,0.04,0.04,0.04,0.04,0.001009786,0.002064008,0.004802868,600,30,replaceA1,1000.0015266174071
det,7.596768314572382,35.541454685433585,109.98356808922546,41.55122332979266,2,300,3.2466944755793024,9.434050521713896,4.858090857000665,8.598463358727887,3.8797860865809732,12.141354666406269,0.4794117910796184,0.066748859,0.091266798,0.04,0.04,0.04,0.04,0.04,0.007572263,0.00653964,0.007504431,600,30,replaceA1,1000.0008229041288
det,7.560583608854948,32.178906135368855,158.15064063734698,34.62694944370371,2,300,1.3228450945115862,6.327942797619722,4.338173899002977,14.04359172679072,1.322462125702922,7.042559568908287,0.6194160060827596,0.036176205338425915,0.096092909,0.04,0.04,0.04,0.04,0.04,0.004656431,0.003250052,0.002746379,600,30,replaceA1,1000.0007960203063
sto,7.5598671140789735,20.617042484049485,77.10123740053152,19.139559957382403,2,300,4.729229080584661,2.5918654063312476,2.1465599269397244,12.288803012153801,2.9408354372984293,13.650084378388705,1.1668372643552898,0.040207637968887405,0.078766945,0.04,0.04,0.04,0.04,0.04,0.001044137,0.006503641,0.007979763,600,30,replaceA1,1000.000479927966
det,7.466711189901898,31.412058709693497,121.67685317155306,45.34766636077659,2,300,3.8826854861828393,5.761088623609874,3.456255784098998,10.95940667365238,3.899710876872152,10.742729947635382,0.9260348301356236,0.036029795,0.061078416,0.04,0.04,0.04,0.04,0.04,0.009285006,0.004331504,0.008547846,600,30,replaceA1,1000.0018870644944
det,5.937550801250644,47.052770563902506,125.6429267749229,44.121287138918724,2,300,2.238667319335514,5.525512929450633,1.7495623963566675,11.890300135185168,3.935147599113175,12.205226034034883,1.4773805338756278,0.028936939,0.04718928,0.04,0.04,0.04,0.04,0.04,0.001307974,0.009773028,0.009841445,600,30,replaceA1,1000.002466486554
det,5.618964305949373,31.615825900790398,74.34918225979288,21.921032792438716,2,300,3.3798582112562054,9.144361884,8.565478179,13.448838268013318,4.3840170554600135,9.768124854506937,1.3244097080972992,0.034775304211691796,0.079992595,0.04,0.04,0.04,0.04,0.04,0.008932509,0.008440793,0.002298864,600,30,replaceA1,1000.0005552067923
sto,5.579363770247406,46.41925383035659,127.40877594311777,44.82161015280627,2,300,3.918440278,1.0526302965932959,9.472775744763982,12.541527895728121,0.6131424973140753,5.329529902815105,0.45240871405306804,0.040274762,0.073761138,0.04,0.04,0.04,0.04,0.04,0.003169961,0.009254956,0.006480482,600,30,replaceA1,1000.0000460747204
sto,43.013811368682376,37.752896283611534,233.45570940974244,13.75237003874257,2,300,5.262173307367732,1.6716098126427577,4.090631136331417,12.882054283148793,2.4077674131750455,13.18422274134986,0.39834201384136464,0.022423836,0.016375969368954406,0.04,0.04,0.04,0.04,0.04,0.007654365,0.009985142,0.008818759,600,30,replaceA1,1000.0000326539101
